"filename", "language", "Python", "Shell Script", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\viktor\Documents\liquid\obsolete\vae\encoder.py", "Python", 50, 0, 0, 0, 29, 14, 93
"c:\Users\viktor\Documents\liquid\obsolete\vae\evaluator.py", "Python", 40, 0, 0, 0, 26, 16, 82
"c:\Users\viktor\Documents\liquid\obsolete\vae\main.py", "Python", 47, 0, 0, 0, 27, 12, 86
"c:\Users\viktor\Documents\liquid\obsolete\vae\residual.py", "Python", 35, 0, 0, 0, 27, 9, 71
"c:\Users\viktor\Documents\liquid\obsolete\vae\residual_stack.py", "Python", 13, 0, 0, 0, 26, 8, 47
"c:\Users\viktor\Documents\liquid\obsolete\vae\trainer.py", "Python", 66, 0, 0, 0, 30, 17, 113
"c:\Users\viktor\Documents\liquid\obsolete\vae\vector_quantizer.py", "Python", 32, 0, 0, 0, 73, 18, 123
"c:\Users\viktor\Documents\liquid\obsolete\vae\vector_quantizer_ema.py", "Python", 47, 0, 0, 0, 81, 24, 152
"c:\Users\viktor\Documents\liquid\obsolete\vae\visualize.ipynb", "JSON", 0, 0, 0, 164, 0, 1, 165
"c:\Users\viktor\Documents\liquid\run_vae_train.sh", "Shell Script", 0, 4, 0, 0, 7, 2, 13
"c:\Users\viktor\Documents\liquid\setup.py", "Python", 6, 0, 0, 0, 0, 1, 7
"Total", "-", 910, 28, 39163, 1356, 83, 376, 41916
