batch_size,confidence_std_kendall_results,confidence_std_spread_results,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,n_input,n_output,name,nbytes_results,rmse_results,train_rmse_results,train_time_results,verbose,alg
1024,0.0298240521760505,1.1322648481612774,78.0,1.0,999.0,27,4,198,9,1,protein,17077248,2.960114611523824,2.70435048520218,44.72546057216823,0,rf
1024,0.0598457243020843,1.8624290838066964,39.0,1.0,999.0,3,7,544,9,1,protein,400915456,2.4782170659005507,1.3510790612732195,160.21601448953152,0,rf
1024,0.0531506219898614,2.2816415018124694,92.0,1.0,999.0,4,2,711,9,1,protein,436544576,2.412868678518168,1.4969349460436647,207.5978040941991,0,rf
1024,0.0254336423097358,0.886264313528327,99.0,1.0,999.0,25,20,669,9,1,protein,62459200,2.931307764918019,2.6671835692154047,152.50144325569272,0,rf
1024,0.0049162288167221,1.0247522237873472,99.0,1.0,888.0,3,32,164,9,1,protein,18630400,2.688637997174117,2.266761984961282,40.534235490486026,0,rf
1024,0.0015424271459535,0.6466327250900693,59.0,1.0,242.0,28,4,756,9,1,protein,23369472,3.185245987432129,3.0080589158389603,153.81742303818464,0,rf
1024,0.0159265604352109,1.3513818205279138,70.0,1.0,999.0,18,15,523,9,1,protein,68107456,2.7780048413689222,2.482957444409681,124.29889387637375,0,rf
1024,-0.0047218709902068,0.7681981911395525,58.0,1.0,297.0,7,14,135,9,1,protein,5123520,3.1198948987644046,2.8525796456654744,25.663753055036068,0,rf
1024,0.0363487562260221,1.5599712706819375,99.0,1.0,999.0,14,2,140,9,1,protein,23557760,2.771709467689428,2.325756055829298,34.27108088321984,0,rf
1024,0.0416947244946455,1.6408518287260003,99.0,1.0,999.0,8,8,533,9,1,protein,158787648,2.6265320704370287,1.9670160593987616,140.38970140367746,0,rf
1024,0.0321864809838907,1.424714180699738,79.0,1.0,999.0,10,4,554,9,1,protein,131366144,2.620214216426008,2.1267417149621672,142.16603971645236,0,rf
1024,0.0412520474806218,1.8126646432882416,54.0,1.0,999.0,7,5,58,9,1,protein,19827584,2.6206764102792426,1.8891168067151367,13.97856622748077,0,rf
1024,0.0472826473848748,1.9453085075748693,58.0,1.0,999.0,7,13,773,9,1,protein,264331200,2.53207805632825,1.8823787767702496,186.71017588721588,0,rf
1024,0.0333024788698001,1.055607419543188,38.0,1.0,999.0,27,7,151,9,1,protein,13023808,2.9358347891899945,2.710942553226181,30.65541646489873,0,rf
1024,0.0244828407337196,1.1215435936771208,46.0,1.0,788.0,23,4,583,9,1,protein,58708416,2.875504907972077,2.6315965932676546,134.74114665947857,0,rf
1024,0.0401625287422585,0.8002698090586531,65.0,1.0,870.0,9,29,604,9,1,protein,67222784,2.8767386607891163,2.3064212742791,146.10144005343318,0,rf
1024,0.0402636431120415,0.6506748904158177,7.0,1.0,349.0,38,5,655,9,1,protein,8194112,3.7913980245323686,3.633595807316195,99.47988390736282,0,rf
1024,0.0311515674232008,0.8235475533250353,39.0,1.0,999.0,30,29,796,9,1,protein,61684864,2.9707390089775565,2.7644599695306376,158.93593541067094,0,rf
1024,0.0507302540231338,1.7083444786066604,96.0,1.0,999.0,3,2,675,9,1,protein,563585216,2.456339283029021,1.3064064996302776,183.4783775806427,0,rf
1024,0.0274200808616901,0.8417846175255568,53.0,1.0,923.0,31,15,263,9,1,protein,19697472,2.984025298151156,2.781792646173533,52.50868233665824,0,rf
1024,0.0081496931074976,0.8738839349839838,99.0,1.0,732.0,1,24,160,9,1,protein,14981120,2.7179305369524966,2.336758282982661,38.67244676314294,0,rf
1024,0.0367115881097174,1.5166765254349444,23.0,1.0,999.0,4,13,573,9,1,protein,231315648,2.5414204239461204,1.6942432215587078,159.4034845791757,0,rf
1024,0.0436959068161906,2.577269252237161,99.0,1.0,999.0,1,8,180,9,1,protein,147403520,2.452804506973901,1.2191488296236628,56.09624064154923,0,rf
1024,0.047672664493498,1.9179775509535948,75.0,1.0,999.0,2,17,303,9,1,protein,117814336,2.559514311937579,1.7094378364555634,87.21888499893248,0,rf
1024,0.0254213058425273,1.813043749926477,99.0,1.0,999.0,13,2,50,9,1,protein,9081472,2.7265442845551733,2.285481989448704,12.374455578625202,0,rf
1024,0.0348278398529854,1.340627033963403,30.0,1.0,999.0,5,4,777,9,1,protein,376669120,2.5265864924181183,1.6450802645243394,216.38818592391908,0,rf
1024,0.0514748185877379,2.010439361131947,75.0,1.0,999.0,2,19,267,9,1,protein,94530368,2.5934043805068536,1.7756799178278262,68.72295330651104,0,rf
1024,0.0413512515594082,2.0870134467153467,99.0,1.0,999.0,2,7,303,9,1,protein,247101120,2.428036202024475,1.2574866733388113,91.48426905460656,0,rf
1024,0.0319847381575724,0.8419518442085666,46.0,1.0,741.0,20,8,305,9,1,protein,28909120,2.898357433684072,2.556905154345422,70.55503980442882,0,rf
1024,0.0602005532425897,1.7234300145493409,38.0,1.0,999.0,5,7,462,9,1,protein,224104320,2.6290751838584208,1.6380537752928623,128.93365550413728,0,rf
1024,0.0122950890018722,0.8407376964935781,98.0,1.0,588.0,2,32,234,9,1,protein,17596800,2.8869498512147915,2.4669887291168107,49.42590806260705,0,rf
1024,0.041657714551302,1.486366426982914,75.0,1.0,999.0,14,5,206,9,1,protein,34632960,2.721803609953564,2.3338470732838474,51.45272829197347,0,rf
1024,0.0657865504443951,2.104039798050091,23.0,1.0,999.0,4,19,433,9,1,protein,130986688,2.6436382945027046,1.875400081682488,118.40834013186397,0,rf
1024,0.0071667420729869,1.0368785178034163,99.0,1.0,999.0,39,17,444,9,1,protein,26355968,3.035354309569349,2.902640396852981,94.99818716943264,0,rf
1024,0.0478247193878768,2.226158059093689,74.0,1.0,999.0,6,17,529,9,1,protein,162356160,2.538852299197615,1.9089307720230435,143.603266953025,0,rf
1024,0.0467409374205321,0.7181609727115773,7.0,1.0,999.0,4,3,84,9,1,protein,1278080,3.6544333259577897,3.588895215878985,12.70481022587046,0,rf
1024,0.0579456762535305,1.684197356651962,81.0,1.0,999.0,5,8,234,9,1,protein,113530752,2.558291247677893,1.6460884828575055,65.35897194221616,0,rf
1024,-0.0215296077647141,1.0892402352535662,99.0,1.0,185.0,26,5,12,9,1,protein,283392,3.258100951873959,3.141880139934944,2.365070356056094,0,rf
1024,0.0343248801497756,0.9166629964881864,99.0,1.0,999.0,21,33,408,9,1,protein,45443072,2.900743085574789,2.567014303267747,94.73801205307244,0,rf
1024,-0.0035199236287153,0.8612126668788219,99.0,1.0,544.0,7,13,94,9,1,protein,6539392,2.9192852366449262,2.5060400820625395,21.391263416036963,0,rf
1024,0.0297934591770115,1.5338155485030611,91.0,1.0,999.0,15,12,55,9,1,protein,8619200,2.8226399312929376,2.377298187696636,12.38297506980598,0,rf
1024,0.0211191081305105,1.079210759900732,44.0,1.0,999.0,18,3,741,9,1,protein,96512448,2.8807127483873955,2.473884883915704,176.21232177130878,0,rf
1024,0.0140302631703115,0.9192947250891484,73.0,1.0,846.0,7,33,212,9,1,protein,22943488,2.7125168845470884,2.3407066493965187,52.05203402228653,0,rf
