batch_size,boosting,confidence_quantile_kendall_results,confidence_quantile_spread_results,feature_fraction,lambda_l2,learning_rate,max_depth,min_data_in_leaf,n_estimators,n_input,n_output,name,nbytes_results,num_leaves,rmse_results,subsample,train_rmse_results,train_time_results,verbose,alg
1024,gbdt,0.0999129727452848,4.057703539121097,1.0,1.7435139006614844,0.0365568311120441,16,39,405,9,1,protein,2811048,73,2.673608069246723,0.9450825323346188,2.2781171004070746,73.81088616326451,0,lgbm
1024,gbdt,0.1461410246746196,0.0368916869641065,1.0,0.4026367524141481,0.0089939700782735,-1,44,696,9,1,protein,1297344,20,3.4266111206606955,0.7582868286539024,3.367744789872508,40.72144710458815,0,lgbm
1024,gbdt,0.0785016959549543,3.3391438050719637,1.0,0.3258766779171773,0.0828726518466479,83,35,771,9,1,protein,5508024,75,2.432195043801557,0.7010055167408419,1.3975577984998009,138.3871530275792,0,lgbm
1024,dart,0.2243769351219957,0.5527988750546428,1.0,0.2910682967932865,0.0281933338459401,-1,47,239,9,1,protein,1202648,53,3.5261625959032394,0.8245172638092337,3.482743739637412,45.75409492664039,0,lgbm
1024,gbdt,0.1410568443725194,0.0352062619542752,1.0,0.9201436436954272,0.009554038168815,55,49,381,9,1,protein,2502408,69,3.1496333491970367,0.8765364708934902,3.0170032668606264,72.52757559623569,0,lgbm
1024,dart,0.206306780180979,3.0832267450241577,1.0,1.9030093557763603,0.0386168242557957,98,7,234,9,1,protein,862992,39,3.494484245296276,0.7973976347556643,3.456078342337225,35.61663300450891,0,lgbm
1024,gbdt,0.1756773961774281,0.0073702176096043,1.0,1.2623151127058143,0.0070863036736624,-1,36,144,9,1,protein,807552,59,4.179811632132586,0.7444233345426657,4.142671821831878,24.174778634682298,0,lgbm
1024,gbdt,0.0989982034038092,0.2651532476712799,1.0,1.9167373316499885,0.1061879905613795,-1,42,113,9,1,protein,546920,51,2.838113980187684,0.7604083037493228,2.5736825132265446,15.240150414407251,0,lgbm
1024,dart,0.1866057595684373,13.94461796367615,1.0,1.4802744405702652,0.0359069993258667,82,38,409,9,1,protein,1508392,39,3.250392788744868,0.9547490445853904,3.15951456666473,70.38464798219502,0,lgbm
1024,gbdt,0.0848966612713522,3.047908289889386,1.0,0.8442724942109072,0.1435285985564551,60,27,714,9,1,protein,6128976,90,2.3975977316121773,0.9507457246801032,0.9258886818281328,152.5926287509501,0,lgbm
1024,gbdt,0.1431304949079226,0.0482124912719407,1.0,1.6092190191350677,0.1369830126411648,-1,44,39,9,1,protein,181272,49,3.096818336957736,0.88984215300872,2.9531726707037267,5.383165975101292,0,lgbm
1024,gbdt,0.1685735445517721,0.0077038465502251,1.0,0.660124817594584,0.0068618470744589,33,20,213,9,1,protein,642408,32,4.07077422948314,0.8286571682670496,4.054625632528836,20.48960599116981,0,lgbm
1024,gbdt,0.1042648179106755,0.5398276261290325,1.0,0.2266148461188657,0.0921125292870424,18,14,568,9,1,protein,1931200,36,2.586319332262434,0.881386956229729,1.9594757285770843,53.155934126116335,0,lgbm
1024,gbdt,0.1012454642186319,1.2259131825456244,1.0,0.3759334997710826,0.0852874341184784,19,15,182,9,1,protein,1702064,98,2.576071759059742,0.9031127981581336,2.0060883347621847,45.32862451300025,0,lgbm
1024,dart,0.1727947825644153,2.7111920773065195,1.0,1.5325987243273,0.0199764727053236,54,49,751,9,1,protein,6807064,95,2.962435893768484,0.7431416335060689,2.7560052132706283,280.90496517252177,0,lgbm
1024,gbdt,0.0919976915778651,7.263441740327917,1.0,1.0090425740174755,0.1174591522547653,12,44,568,9,1,protein,1440448,27,2.641593922696178,0.9645025221334266,2.0942626788566745,37.77370589785278,0,lgbm
1024,gbdt,0.1590096608535996,0.0184397985749689,1.0,1.2979145658582265,0.1068716981110862,-1,31,24,9,1,protein,116160,51,3.468059414905277,0.9855358947605466,3.3903119045927785,3.5816392553970218,0,lgbm
1024,gbdt,0.1121178991945482,4.521944522970038,1.0,0.6254944874995387,0.0799164831460078,38,18,676,9,1,protein,1130272,18,2.782116724436273,0.7847590900365033,2.4173279124886133,32.047712940722704,0,lgbm
1024,gbdt,0.1630099283737642,0.020701512577941,1.0,1.0581800096132306,0.0055958680070831,39,4,624,9,1,protein,2780544,47,3.3299116127292354,0.944907804958338,3.240440591961564,83.57381691411138,0,lgbm
1024,gbdt,0.1819548064374838,0.005118026764516,1.0,1.585735477900134,0.0084111439331191,38,32,79,9,1,protein,708472,94,4.418470200367507,0.7494352096816562,4.364379898759253,20.55837774462998,0,lgbm
1024,gbdt,0.1573063433622329,0.0249811276096018,1.0,1.1841739451794266,0.0067201334193225,-1,32,463,9,1,protein,2907640,66,3.263519682520363,0.9915844549426628,3.1539261377386905,83.79964523203671,0,lgbm
1024,dart,0.1470451308449517,0.8934898205695601,1.0,0.885218651623153,0.0606477255161709,-1,8,487,9,1,protein,1655800,36,3.022110138316711,0.8302162124553932,2.829178741304417,81.72150679770857,0,lgbm
1024,gbdt,0.1584657658794536,0.0209365005400674,1.0,1.5452328819348282,0.0066699138080256,32,36,496,9,1,protein,1686400,36,3.468786462797797,0.8173357788943544,3.404864231616684,50.86506466474384,0,lgbm
1024,dart,0.2487501420536214,0.0357606826500207,1.0,0.2900139651455065,0.0185726854711765,63,49,122,9,1,protein,1012112,87,4.093805318897671,0.9863476489965672,4.08128884826665,31.972964803688228,0,lgbm
1024,gbdt,0.1107501179774568,0.0825204264935611,1.0,0.7469920805265353,0.0472181188922801,98,37,174,9,1,protein,825456,50,2.9539638682823792,0.9850138693984228,2.76598080632994,23.39209676068276,0,lgbm
1024,gbdt,0.1606277351628361,0.0078137360124944,1.0,0.7271932595063271,0.0347997407512317,-1,49,44,9,1,protein,73568,18,4.221413575386327,0.7455338084444625,4.221706245533686,2.575982830487192,0,lgbm
1024,gbdt,0.1360166316641808,0.0633306909782318,1.0,1.066636397368578,0.0504986462703889,-1,19,220,9,1,protein,473440,23,3.1626080533423786,0.9991828852878976,3.0340508533946275,14.473993934690952,0,lgbm
1024,dart,0.2499370864497209,0.1585650089410891,1.0,0.9730240645127036,0.0059265405589374,14,23,490,9,1,protein,2606800,56,4.09192342327319,0.9743106077560562,4.095420378305972,109.37157981470229,0,lgbm
1024,gbdt,0.1516480989177133,0.0158040453482482,1.0,1.4828827747928657,0.0348883543149829,5,6,71,9,1,protein,212696,95,3.854201784688144,0.7204799965818318,3.844649873534756,4.93305670004338,0,lgbm
1024,dart,0.2173390840040598,0.0008133059860305,1.0,1.266017042205876,0.0197510048645127,36,20,52,9,1,protein,466336,94,4.30723651403936,0.9348860715356488,4.264517893340527,14.61520314309746,0,lgbm
1024,gbdt,0.1288246350034444,0.0486431502791509,1.0,0.5391855627380351,0.0079476818921739,15,43,526,9,1,protein,4464016,89,3.002872464266721,0.9159843567703296,2.8142558788431704,128.32598847337067,0,lgbm
1024,dart,0.1030156626054281,0.8719786720392002,1.0,0.5619323113829131,0.0960533508003508,52,28,427,9,1,protein,2886520,71,2.6998368885253,0.863219082225698,2.27372381553362,114.65346914809196,0,lgbm
1024,gbdt,0.1538137815652316,0.0204500887223894,1.0,1.185206268630545,0.0064525920696562,-1,45,545,9,1,protein,1434440,28,3.5351217791980134,0.8100545514364399,3.48050201856216,43.30555355362594,0,lgbm
1024,dart,0.1601756574350568,0.6003384171458234,1.0,0.5531353129093732,0.0380785104470504,26,24,498,9,1,protein,1549776,33,3.218237627336868,0.736341469897717,3.1036931879140344,74.71894795447588,0,lgbm
1024,gbdt,0.1157191344616898,0.066884550262259,1.0,0.026319285780747,0.0199981286110215,38,36,341,9,1,protein,1846856,57,2.972255027103545,0.7165577458689355,2.784169927772021,50.21677762828767,0,lgbm
1024,dart,0.0992314032406474,0.3137285015509753,1.0,0.5754057851551722,0.0907388031324474,51,35,662,9,1,protein,3204080,51,2.7058381848903093,0.8334430695732646,2.3171837160694837,139.29021409805864,0,lgbm
1024,gbdt,0.1016279137828807,0.5419348147252242,1.0,0.7787708303586878,0.0941798374295977,45,7,358,9,1,protein,2798128,82,2.511852631711553,0.8056789865183951,1.642521410207053,71.3259287700057,0,lgbm
1024,dart,0.1626940216189873,0.5321872363001491,1.0,1.2874778129227191,0.0415979998530267,98,28,453,9,1,protein,1366248,32,3.223895299055837,0.9652754293827148,3.120818597158048,64.66592722013593,0,lgbm
1024,gbdt,0.1468251139264917,0.0303308180686562,1.0,0.7706229832872218,0.0116277421037758,61,36,354,9,1,protein,1543440,46,3.247821728089732,0.8126257770134419,3.1500399281796745,44.14248977508396,0,lgbm
1024,gbdt,0.1206012413151832,0.1721196374556165,1.0,1.5385381056738772,0.0299666322815156,70,11,465,9,1,protein,2072040,47,2.8345658027827376,0.8911069019875564,2.5460613715973333,56.4370444053784,0,lgbm
1024,gbdt,0.1316247857720211,0.0409876110443675,1.0,1.281196514867872,0.0133919360769449,63,42,381,9,1,protein,1624584,45,3.1683882678824378,0.7566479856046792,3.052034388486591,46.10685256961733,0,lgbm
1024,dart,0.2173171205469776,2.1749392609560663,1.0,1.1655734945126723,0.0111016450317592,87,12,542,9,1,protein,2779376,54,3.5841888416683805,0.9525442684620464,3.5439811435964805,118.71186027303338,0,lgbm
1024,dart,0.2165317962084485,0.1655855479007597,1.0,1.6396074020405391,0.0512985239659083,16,14,132,9,1,protein,588192,47,3.525264643422352,0.7603799734557224,3.478409584623756,22.11341480724513,0,lgbm
1024,gbdt,0.1448751800028105,0.036020785020968,1.0,1.697709398064557,0.0111902378518984,-1,45,371,9,1,protein,1938104,55,3.166206558984668,0.817865581117961,3.047083478900373,59.81095099262893,0,lgbm
1024,dart,0.0912732492038273,0.00575911294087,1.0,1.7980788329334,0.1436089321098264,41,2,94,9,1,protein,842992,94,2.873296969742979,0.7196492149361123,2.6035773544500347,27.68662460613996,0,lgbm
1024,gbdt,0.0960294756310106,0.7488407162978645,1.0,0.080883654847385,0.0618109798377514,15,44,379,9,1,protein,2611768,73,2.585144860017841,0.8208074886532306,2.0580213185747662,71.74452120624483,0,lgbm
1024,gbdt,0.0988599298810544,2.094663009027227,1.0,0.0370119220531621,0.0861008245280283,16,9,466,9,1,protein,4089616,92,2.4537241196232813,0.786192804440804,1.4053049040751442,100.80899165943264,0,lgbm
1024,gbdt,0.0868697348523363,2.858508760893462,1.0,0.9779257539637304,0.080592094697355,30,48,570,9,1,protein,3962352,73,2.494976424732612,0.99897510864049,1.6834670066882655,98.85461490787566,0,lgbm
