batch_size,best_rmse_results,body_dropout,confidence_gate_kendall_results,confidence_gate_spread_results,confidence_std_kendall_results,confidence_std_spread_results,epoch,layers_body,layers_router,load_distribution_lambda,lr,n_citizens,n_input,n_output,name,nbytes_results,power_entropy_results,rmse_results,router_dropout,speaker_entropy_results,specialization_lambda,train_time_results,verbose,width_body,width_router,alg
1024,2.148663125548172,0.1388458072633799,-0.0273471592150571,0.08374711,-0.007410446667077,0.16111024,164,5,4,0.8377851369046785,0.0001827361300564,44,9,1,protein,52064040,0.5345078945159912,2.9432373,0.229943049972691,3.1501937058919793e-08,0.3370095820737789,325.0069967992604,0,259,579,moe
1024,2.3585619642843247,0.0975398525804779,0.0598861147231244,0.1249285,-0.0083304044463163,0.6243367,130,5,8,0.8687824852419797,0.0033333563025811,5,9,1,protein,1795208,0.4073489308357239,0.8868595,0.3719349785090913,0.4181292116641998,0.0,67.90424383617938,0,56,232,moe
1024,1.7804547436353684,0.0091019041669635,0.0263445348268985,0.054150358,0.0625762482592818,0.8111248,118,4,5,0.2750747920815392,0.001253563465966,10,9,1,protein,6159896,0.3188440501689911,2.9253645,0.0888535977240798,5.177194140060237e-08,0.1041373379743235,77.20558590814471,0,223,62,moe
1024,2.147804107536602,0.2258889856333718,-0.0343447019015927,0.10009695,0.0078104694693249,0.12551394,71,4,2,0.4427043185441832,0.0028361037961126,35,9,1,protein,10222240,0.4873142898082733,1.8663903,0.0723736665269328,0.2892381548881531,0.335777680374879,101.97992384061216,0,141,609,moe
1024,2.076149310824852,0.245778535130365,0.3583837864738629,0.09931608,-0.1622610995888577,0.08830082,67,4,4,0.0,0.0039056849700817,9,9,1,protein,5532156,0.6394064784049988,1.0485239,0.1358874185070583,0.3399681210517883,0.903065203422325,41.29044080525637,0,79,630,moe
1024,2.7289041286284257,0.0925977464938087,0.1346391739180086,0.19948836,-0.0878283124050382,0.43074733,142,4,1,0.1059573943083249,0.0048960133255947,6,9,1,protein,25200,0.4218412518501281,1.4518044,0.3198058860364976,6.653197459627337e-08,0.5614639089069089,68.17948673665524,0,14,99,moe
1024,1.9976987203958512,0.2729961048784188,0.1556105378959944,0.10494481,-0.0518093341555087,0.2572914,125,1,3,0.5948549975675023,0.0033641857315376,18,9,1,protein,4368024,0.455346667766571,1.8026522,0.2910585210137095,0.4200191080570221,0.0281534505464859,69.5006527043879,0,81,726,moe
1024,1.973158574586105,0.0931474506064719,-0.0787102848112576,0.090983786,0.0287851572726492,0.44908392,126,6,2,0.0,0.0044429336258699,7,9,1,protein,7673608,0.3286417305469513,0.9495968,0.2382574456603182,6.126146701035395e-08,0.0,79.10881794802845,0,230,194,moe
1024,2.6369454418228147,0.2860600702152994,0.0829812762329818,0.15822704,0.0516998123051614,0.38010946,183,6,1,0.8727721600537041,0.0031958591212803,14,9,1,protein,331792,0.4251177549362183,1.9701723,0.0,0.3696953952312469,0.2321209592752898,164.9727823138237,0,30,550,moe
1024,2.611031294414883,0.3993914862677059,0.0771475618310601,0.25613588,0.0313269349522602,72.572365,52,3,3,0.4730370820340819,0.0045008057250471,2,9,1,protein,1131472,0.9793624997138975,1.8020891,0.3629910035894297,0.9787614822387696,0.93257059928811,19.11841412074864,0,208,225,moe
1024,1.863841132547474,0.0848745559311753,0.0999535827688083,0.06783144,0.0191790761857383,2.4649155,82,6,4,0.9071570390236892,0.0016875410071815,3,9,1,protein,3255552,0.517197585105896,0.95739,0.2487404479742234,0.6231072783470154,0.5997344515672947,35.58865026384592,0,215,189,moe
1024,2.046449930301781,0.1089699955187346,-0.0250279740921312,0.038053144,0.0563474377660918,0.6167729,138,4,2,0.7317045323577448,0.0046915266516231,9,9,1,protein,7387260,0.5981044411659241,1.8868115,0.3029986801392167,5.425449245421987e-08,0.3094507612867241,83.91129199787974,0,251,328,moe
1024,2.6242785422670556,0.3633216933839778,-0.0438514472004232,0.14025134,0.0138631343761785,0.117245525,129,5,1,0.5140582134664957,0.0047015321746603,19,9,1,protein,3882716,0.4307151317596435,2.1293182,0.0,0.2839726030826568,0.6462402093357006,131.50039589963853,0,110,679,moe
1024,2.2983391562618256,0.2975707855911918,0.1980056719220719,0.12021635,0.0267268014777419,0.29140607,135,3,4,0.5293880979917965,0.0042023949960065,4,9,1,protein,3644920,0.3670140922069549,1.4075478,0.1558012067412817,0.0509289898597614,0.3246758255810948,57.382923260331154,0,247,367,moe
1024,1.7534519778066637,0.0247235498350615,0.0460528492052018,0.08256601,0.0327365847342372,0.06399376,183,8,3,0.4024352942082928,0.0025691587081017,26,9,1,protein,13419144,0.5343562126159668,1.8592981,0.1075027645435984,0.1925786942243576,0.7084352802847125,318.29323948174715,0,109,746,moe
1024,2.2940037854304314,0.3000275671039679,-0.1125518609334322,4.0065734e-05,-0.0613785527417834,0.000117401105,193,8,5,0.0,0.002148223053503,3,9,1,protein,3794280,1.9879500905517487e-05,1.1026179,0.2489236699115403,1.0850898490843974e-07,0.0,94.43422811292112,0,204,124,moe
1024,2.2512019237140466,0.0901496632001045,0.0830266411109187,0.0087816585,-0.030247375638783,2.0149391e-05,171,7,1,0.7129563996150051,0.0043566565327912,39,9,1,protein,57815836,0.7511340379714966,1.3883051,0.0,3.2539183791868715e-08,0.0171660654133983,386.1834749858826,0,247,286,moe
1024,2.247913425774479,0.197006539138821,-0.1247462279830699,0.060761772,0.0457059848636733,0.22310098,101,3,2,0.0039666221761116,0.0039273721508887,42,9,1,protein,18598008,0.6759086489677429,2.8557131,0.1977993721245641,0.2373645335435867,0.7038365857548706,142.74897851608694,0,230,258,moe
1024,1.9394026760412217,0.3056660321424829,-0.0079749268978844,0.11897673,-0.164543088037761,0.029826425,103,8,4,0.4703793058550891,0.0019982276564109,7,9,1,protein,11331864,0.362629759311676,1.2294315,0.1386126787837226,0.3765382766723633,0.4847095986469562,78.0003638677299,0,150,752,moe
1024,2.429475228574009,0.0384248684397702,-0.107841063708246,0.0004874956,0.0772479345296741,0.45122093,51,5,7,0.9376519036709012,0.0047906734063713,17,9,1,protein,2106640,0.5578131794929504,2.3967104,0.3809612450657958,0.2415622949600219,0.0,49.44977444782853,0,69,173,moe
