batch_size,best_rmse_results,confidence_D_diagonal_kendall_results,confidence_D_diagonal_spread_results,confidence_D_entropy_kendall_results,confidence_D_entropy_spread_results,confidence_power_kendall_results,confidence_power_spread_results,confidence_std_kendall_results,confidence_std_spread_results,dropout_body,dropout_d,dropout_y,epoch,layers_body,layers_d,layers_y,load_distribution_lambda,lr,n_citizens,n_input,n_output,name,nbytes_results,power_entropy_results,rmse_results,solver,speaker_entropy_results,specialization_lambda,train_time_results,verbose,width_body,width_d,width_y,alg
1024,3.047773323404503,0.051978871158366,0.03824467,0.0998644667471611,0.0018264435,-0.0594116127907442,0.043366004,0.1085331596676134,0.2869752,0.3768408624498071,0.12632342372904,0.0728739717250916,89,3,1,3,0.644932028652357,0.0035893499895033,31,9,1,protein,33458672,0.4745246350765228,2.2296047,sink_many,0.3339249193668365,0.643549664194361,258.8915244378149,0,135,253,275,le
1024,2.174113250651169,0.1629111105668579,0.031219471,0.1229832662706175,0.02775348,0.0758907263659589,0.07223937,-0.1505997251594794,3.419862,0.1841339018464768,0.2172472628173688,0.3857072025494807,74,3,2,3,0.475735907387284,0.0008611898435853,5,9,1,protein,5837860,0.2506905257701873,0.85346097,sink_many,0.6681454658508301,0.5001956065666209,73.09404583089054,0,229,198,171,le
1024,2.1562831493362045,-0.0685224639549144,0.08620404,-0.0046864943335349,0.12501346,0.0319057101187519,0.15561716,0.1044179909416213,5.6508126,0.1430312739846924,0.0301540171673152,0.0093178189870006,109,2,2,1,0.968442986118922,0.0028523943615233,3,9,1,protein,1711008,0.0430017918348312,1.2619169,sink_many,1.0850898490843974e-07,0.0,81.65519710443914,0,156,201,277,le
1024,2.371778757430439,0.1032776294116368,4.821442e-07,-0.0059531557805442,8.170236e-06,0.0585297971992944,1.9570668e-07,0.0085484878205993,0.16728386,0.2634984519752214,0.1840546194882077,0.0096927334186001,106,2,2,2,0.2506235108382239,0.0045805136627875,12,9,1,protein,9728688,0.0342951454222202,3.803119,sink_many,4.797335506623313e-08,0.6260977196685686,147.58420598134398,0,85,296,238,le
1024,2.889264939682083,-0.1095600644335576,0.0022784404,0.067532695527235,0.08964748,0.1069163026873206,0.07055073,-0.0753374933561065,1.824929,0.0508877219677135,0.201094174339462,0.3327414584749633,59,1,1,1,0.0,0.0012342431919322,28,9,1,protein,431088,0.1130890905857086,8.04069,sink_many,3.577490303996456e-08,0.1326722634546825,100.54994472675024,0,32,10,85,le
1024,2.358814878717003,0.134646245631086,0.059923675,0.1085927092955034,0.059665527,0.1015654912355758,0.09882674,-0.0826544766734773,3.9468713,0.1597831629614225,0.2979250330837376,0.2796720822777222,190,3,1,2,0.6500784663005921,0.0025554708703968,3,9,1,protein,356544,0.6217161417007446,1.004389,sink_many,0.613719391822815,0.4006105769724466,183.4033745136112,0,80,175,13,le
1024,2.374757703728466,-0.102810212275623,0.024485858,0.1003489971515458,0.037200365,0.233405971627413,0.107299134,-0.0993374713806177,8.256456,0.3501893243903533,0.1927096843621858,0.2732790125698316,93,0,2,3,0.5836398212315396,0.0023622345854045,30,9,1,protein,11727960,0.2052422404289245,5.0452905,sink_many,0.4175605118274689,0.2577689010531023,210.64813616126776,0,209,211,146,le
1024,3.293816832619667,0.1554649985564025,2.9929373e-07,0.1485017734836745,6.054016e-06,0.1588904686802273,1.5110658e-07,-0.0673213431520235,38.136234,0.2550001872730286,0.1254712440533825,0.1098947030987368,129,2,3,1,0.0,0.0001887457886678,2,9,1,protein,407168,0.04691718891263,1.9545501,sink_many,1.7198266277773658e-07,0.7428518536930588,83.44893823005259,0,45,133,135,le
1024,2.0751552911904336,0.0550853519808588,0.034506064,0.1280165783442504,0.16779889,0.167856080019499,0.18784495,-0.1118433228041108,2.2273812,0.2066916880473053,0.2945736145213302,0.1895177646448354,136,2,1,1,0.1907603437048389,0.0009244303967244,9,9,1,protein,5241960,0.3073378086090088,3.906799,sink_many,0.3844649732112885,0.0,147.75043283961713,0,245,233,95,le
1024,2.3381758647935484,0.1094915025506809,8.278058e-07,0.0285277102690132,2.8129767e-05,0.0396120690564071,5.171856e-07,-0.0429334739198686,0.46986008,0.3762849819982846,0.2714719320128717,0.2330760144942508,119,1,2,2,0.0,0.0034431981639691,14,9,1,protein,5730480,0.031049120798707,4.652042,sink_many,4.517116991564762e-08,0.2660986588661337,171.81482550129294,0,50,143,243,le
1024,2.4548002391531183,0.0145066590176688,0.014612635,0.172663245687302,0.03467698,0.1265460078741973,0.07825762,-0.0163607188457073,6.4795666,0.2853385475155021,0.3373986092473113,0.1775882306349479,84,0,2,2,0.6706688832873369,0.0009374503879792,18,9,1,protein,9187488,0.1220922797918319,1.9738747,sink_many,0.2305954217910766,0.517348597646648,135.98227424547076,0,179,204,277,le
1024,2.4549251705825808,0.0615616769104594,0.019663054,0.0609825487056413,0.05996535,-0.0485156479210108,0.047189742,-0.0734062552147711,3.0088055,0.2467302536113301,0.3883007151346684,0.0362443955190331,85,0,1,2,0.8990062592769748,0.0048207984339868,5,9,1,protein,699320,0.0511161521077156,6.153779,sink_many,0.5075143456459046,0.782136393614686,68.16820972412825,0,143,268,170,le
